input,output,difficulty,chapter
(   )荷葉上有　5　隻青蛙，又跳來　10　隻，荷葉上共有幾隻青蛙？題目和答案可以用哪一個算式表示？　(Ａ)　5＋10＝10　(Ｂ)　10＋5＝16　(Ｃ)　5＋10＝15。,答案：(Ｃ) ,易,1-1_基本加法
(   )媽媽吃了　8　個鍋貼，弟弟吃了　6　個鍋貼，兩個人共吃了幾個鍋貼？題目和答案可以怎麼記？　(Ａ)　9＋8＝17　(Ｂ)　8＋6＝14　(Ｃ)　9＋6＝15。,答案：(Ｂ) ,中,1-1_基本加法
(   )下列哪一個算式答案是錯的？　(Ａ)　5＋6＝12　(Ｂ)　8＋5＝13　(Ｃ)　5＋9＝14。,答案：(Ａ) 解析：5＋6＝11 ,易,1-1_基本加法
(   )下面哪一個算式的答案和　10＋8　相同？　(Ａ)　8＋8　(Ｂ)　9＋9　(Ｃ)　10＋9。,答案：(Ｂ) 解析：10＋8＝18，(Ａ)　8＋8＝16，(Ｂ)　9＋9＝18，(Ｃ)　10＋9＝19 ,中,1-1_基本加法
(   )下面算式中，哪一個和其他算式的答案不同？　(Ａ)　8＋6　(Ｂ)　9＋5　(Ｃ)　5＋8。,答案：(Ｃ) 解析：(Ａ)　8＋6＝14，(Ｂ)　9＋5＝14，(Ｃ)　5＋8＝13 ,中,1-1_基本加法
(   )下面哪一個算式的和最大？　(Ａ)　6＋7　(Ｂ)　7＋5　(Ｃ)　8＋4。,答案：(Ａ) 解析：(Ａ)　6＋7＝13，(Ｂ)　7＋5＝12，(Ｃ)　8＋4＝12 ,難,1-1_基本加法
(   )下面哪一個算式的和最小？　(Ａ)　6＋7　(Ｂ)　8＋4　(Ｃ)　9＋2。,答案：(Ｃ) 解析：(Ａ)　6＋7＝13，(Ｂ)　8＋4＝12，(Ｃ)　9＋2＝11 ,難,1-1_基本加法
(   )一盒餅乾有　12　片，弟弟吃　5　片，妹妹吃　6　片，兩人共吃幾片餅乾？　(Ａ)　5　片　(Ｂ)　6　片　(Ｃ)　11　片。,答案：(Ｃ) 解析：5＋6＝11 ,中,1-1_基本加法
(   )光彥有　16　顆糖果，給了步美　10　顆，又給了柯南　6　顆，後來步美把自己的　7　顆糖果送給柯南，柯南有幾顆糖果？　(Ａ)　11　顆　(Ｂ)　12　顆　(Ｃ)　13　顆。,答案：(Ｃ) 解析：理解題意問“柯南”，所以光彥給柯南　6　顆，步美給柯南　7　顆，6＋7＝13 ,難,1-1_基本加法
(   )柯柯昨天得到　2　點超商點數，今天拉著爸爸去超商買東西集點數，爸爸花了　15　元得到　10　點超商點數，柯柯和爸爸共有幾點超商點數？　(Ａ)　12　點　(Ｂ)　11　點　(Ｃ)　10　點。,答案：(Ａ) 解析：問點數，注意單位，2＋10＝12 ,中,1-1_基本加法
(   )9＋3＝12　算式中，被加數、加數分別是多少？　(Ａ)被加數是　9，加數是　3　(Ｂ)被加數是　9，加數是　12　(Ｃ)被加數是　3，加數是　12。,答案：(Ａ) 解析：熟悉被加數、加數、和三者在算式中的位置  ,中,1-1_基本加法
(   )熊大和兔兔在公園撿松果，熊大撿了　10　顆，兔兔也撿了　6　顆，熊大和兔兔兩人共撿了幾顆松果？　(Ａ)　14　顆　(Ｂ)　16　顆　(Ｃ)　18　顆。,答案：(Ｂ) 解析：10＋6＝16 ,易,1-1_基本加法
(   )平平早上做了　6　把扇子，下午做了　8　把扇子，平平這一天共做了幾把扇子？　(Ａ)　2　把　(Ｂ)　12　把　(Ｃ)　14　把。,答案：(Ｃ) 解析：6＋8＝14 ,易,1-1_基本加法
(   )小明到夜市玩棒球九宮格的遊戲，第一球投中了　4　分，第二球投中了　9　分，小明一共投中了幾分？　(Ａ)　13　分　(Ｂ)　14　分　(Ｃ)　15　分。,答案：(Ａ) 解析：4＋9＝13 ,中,1-1_基本加法
(   )魚缸裡有　7　條小丑魚和　4　條蝴蝶魚，魚缸裡共有多少條魚？算式可以記作　7＋4，也可以記作　(Ａ)　7＋5　(Ｂ)　5＋7　(Ｃ)　4＋7。,答案：(Ｃ) 解析：先數小丑魚，再數蝴蝶魚：7＋4＝11； 先數蝴蝶魚，再數小丑魚：4＋7＝11，共有　11　條魚。 ,易,1-2_5+6和6+5
(   )大成、酷熱、小瑞玩骰子比大小的遊戲，大成骰出了　5　和　6，小瑞骰出了　2　和　5，酷熱骰出　6　和　5，哪兩個人點數和一樣？　(Ａ)小瑞和大成　(Ｂ)酷熱和小瑞　(Ｃ)大成和酷熱。,答案：(Ｃ) 解析：大成：5＋6＝11；小瑞：2＋5＝7；酷熱：6＋5＝11 ,難,1-2_5+6和6+5
(   )兩津上午抓了　8　個犯人，下午抓了　5　個犯人，中川上午抓了　5　個犯人，下午抓了　8　個犯人，哪個時間抓到比較多的犯人？　(Ａ)上午　(Ｂ)下午　(Ｃ)一樣多。,答案：(Ｃ) 解析：8＋5＝13（上午），5＋8＝13（下午）→上午和下午一樣多 ,難,1-2_5+6和6+5
(   )有兩算式中　7＋6＝□和　6＋7＝○，□和○各是多少？　(Ａ)□＝13，○＝12　(Ｂ)都是　13　(Ｃ)○和□都是　12。,答案：(Ｂ) 解析：7＋6＝6＋7，熟悉加法交換律。 ,易,1-2_5+6和6+5
(   )有兩算式　8＋4＝△，和　4＋8＝○，△和○各是多少？　(Ａ)△＝12，○＝13　(Ｂ)△＝13，○＝12　(Ｃ)都是　12　(Ｄ)都是　13。,答案：(Ｃ) 解析：8＋4＝12，4＋8＝12 ,中,1-2_5+6和6+5
(   )倫倫這週補習　5　天，下週補習　4　天，帆帆這週補習　4　天，下週補習　5　天，誰在兩週內補習比較多天，多幾天？　(Ａ)倫倫，比帆帆多　1　天　(Ｂ)帆帆，比倫倫多　1　天　(Ｃ)兩人一樣多。,答案：(Ｃ) 解析：被加數和加數交換，和不變 ,中,1-2_5+6和6+5
(   )下面有　4　張心算卡，有幾張心算卡的答案是　13？　5＋6　　　9＋4　　　8＋3　　　7＋6　(Ａ)　1　張　(Ｂ)　2　張　(Ｃ)　3　張。,答案：(Ｂ) 解析：5＋6＝11；9＋4＝13；8＋3＝11；7＋6＝13 ,中,1-3_加法算式的規律
(   )下面哪一個算式的答案是　11？　(Ａ)　3＋9　(Ｂ)　4＋8　(Ｃ)　5＋6。,答案：(Ｃ) 解析：3＋9＝12，4＋8＝12，5＋6＝11 ,中,1-3_加法算式的規律
(   )下面哪一個算式的答案不是　14？　(Ａ)　5＋9　(Ｂ)　6＋7　(Ｃ)　7＋7。,答案：(Ｂ) 解析：6＋7＝13 ,難,1-3_加法算式的規律
(   )下面哪一張心算卡的答案是　15？　(Ａ)　　9＋7　　(Ｂ)　　7＋8　　(Ｃ)　　9＋8　。,答案：(Ｂ) 解析：9＋7＝16，7＋8＝15，9＋8＝17 ,中,1-3_加法算式的規律
(   )下面哪一個算式的答案是　17？　(Ａ)　　9＋8　　(Ｂ)　　9＋7　　(Ｃ)　　9＋6　。,答案：(Ａ) 解析：9＋8＝17，9＋7＝16，9＋6＝15 ,中,1-3_加法算式的規律
(   )7＋9＝16，7＋8＝15，7＋7＝14，7＋6＝13，7＋5＝12，想一想，7＋4＝　(Ａ)　13　(Ｂ)　12　(Ｃ)　11。,答案：(Ｃ) ,易,1-3_加法算式的規律
(   )9＋9＝18，9＋8＝17，9＋7＝16，想一想，算式　9＋6　的答案是多少？　(Ａ)　15　(Ｂ)　16　(Ｃ)　13。,答案：(Ａ) 解析：9＋6＝15 ,中,1-3_加法算式的規律
(   )被加數相同，加數和和有什麼關係？　(Ａ)加數增加　1，和減少　1　(Ｂ)加數增加　1，和增加　1　(Ｃ)加數增加　2，和增加　1。,答案：(Ｂ) 解析：被加數相同，加數增加　1，和增加　1；被加數相同，加數減少　1，和減少　1。 ,難,1-3_加法算式的規律
(   )想一想，6＋7　的和應該比　6＋6　的和多多少？　(Ａ)　0　(Ｂ)　1　(Ｃ)　2。,答案：(Ｂ) 解析：被加數相同，加數增加　1，和也增加　1。 ,中,1-3_加法算式的規律
(   )已知　7＋7＝14，想一想，7＋8　的和是多少？　(Ａ)　13　(Ｂ)　15　(Ｃ)　17。,答案：(Ｂ) 解析：被加數相同，加數增加　1，和也增加　1。 ,中,1-3_加法算式的規律
(   )想一想，7＋5　的和比　6＋5　的和多多少？　(Ａ)　5　(Ｂ)　7　(Ｃ)　1。,答案：(Ｃ) 解析：加數相同，被加數多　1，和也多　1。 ,中,1-3_加法算式的規律
(   )想想看，4＋8＝12，5＋8　的和是多少？　(Ａ)　13　(Ｂ)　12　(Ｃ)　11。,答案：(Ａ) 解析：加數相同，被加數多　1，和也多　1。 ,中,1-3_加法算式的規律
(   )紅色緞帶和　9　根迴紋針一樣長，柯南剪下　4　根迴紋針的長度的緞帶，剩下的紅色緞帶和幾根迴紋針一樣長？　(Ａ)　3　根　(Ｂ)　4　根　(Ｃ)　5　根。,答案：(Ｃ) 解析：9－4＝5 ,中,2-2_長度的合成和分解
(   )藍色緞帶和　7　支髮夾一樣長，紅色緞帶和　6　支髮夾一樣長，紅色緞帶和藍色緞帶合起來有幾支髮夾長？算式可記作　(Ａ)　7＋3＝10　(Ｂ)　7＋5＝12　(Ｃ)　7＋6＝13。,答案：(Ｃ) ,中,2-2_長度的合成和分解
(   )樹上原本有　17　顆柳丁，掉落了　8　顆後，剩下幾顆柳丁？　(Ａ)　8　顆　(Ｂ)　9　顆　(Ｃ)　10　顆。,答案：(Ｂ) 解析：17－8＝9 ,中,3-1_基本減法
(   )公車上原有　18　個人，到了文化中心後，有　9　個人下車，公車上還有多少個人？　(Ａ)　9　個人　(Ｂ)　10　個人　(Ｃ)　11　個人。,答案：(Ａ) 解析：18－9＝9 ,易,3-1_基本減法
(   )「一盒鳳梨酥有　12　塊，弟弟吃掉了　7　塊，還剩下幾塊？」哪一個是正確的算式？　(Ａ)　12＋7＝19　(Ｂ)　12－5＝7　(Ｃ)　12－7＝5。,答案：(Ｃ) ,易,3-1_基本減法
(   )算式　12－7＝5　中，12　稱為　(Ａ)被減數　(Ｂ)減數　(Ｃ)差。,答案：(Ａ) 解析：減法算式中，減號前的數，稱為被減數。 ,易,3-1_基本減法
(   )算式　15－7＝8　中，7　稱為　(Ａ)被減數　(Ｂ)減數　(Ｃ)差。,答案：(Ｂ) 解析：減法算式中，減號後的數，稱為減數。 ,易,3-1_基本減法
(   )算式　14－5＝9　中，9　稱為　(Ａ)被減數　(Ｂ)減數　(Ｃ)差。,答案：(Ｃ) 解析：減法算式中的答案稱為差。 ,易,3-1_基本減法
(   )哥哥帶　15　元，買了一個橡皮擦　7　元，還剩下幾元？　(Ａ)　7　元　(Ｂ)　8　元　(Ｃ)　9　元。,答案：(Ｂ) 解析：15－7＝8 ,中,3-1_基本減法
(   )全部有　16　個花片，拿走　9　個花片，還剩下幾個花片？　(Ａ)　5　個　(Ｂ)　6　個　(Ｃ)　7　個。,答案：(Ｃ) 解析：全部有　16　個花片，減掉拿走　9　個，就是剩下的數量，要用減法計算，16－9＝7。 ,中,3-1_基本減法
(   )一籃百香果有　16　顆，媚媚吃了　7　顆，還剩下幾顆？　(Ａ)　10　顆　(Ｂ)　9　顆　(Ｃ)　8　顆。,答案：(Ｂ) 解析： 16－7＝9 ,易,3-1_基本減法
(   )夜市裡，射水球遊戲中，一個轉盤有　12　個水球，詩詩這組射破　5　個，還剩下幾個水球？　(Ａ)　5　個　(Ｂ)　6　個　(Ｃ)　7　個。,答案：(Ｃ) 解析： 12－5＝7 ,易,3-1_基本減法
(   )遊樂園中，抓糖果遊戲中，琴琴共抓到　18　顆糖果，請弟弟吃　9　顆，她還剩下幾顆？　(Ａ)　10　顆　(Ｂ)　9　顆　(Ｃ)　8　顆。,答案：(Ｂ) 解析： 18－9＝9 ,易,3-1_基本減法
(   )一個披薩平均切　16　片，哥哥吃了　7　片，爸爸把剩下的披薩全吃完，爸爸吃了幾片披薩？　(Ａ)　23　片　(Ｂ)　11　片　(Ｃ)　9　片。,答案：(Ｃ) 解析： 16－7＝9 ,易,3-1_基本減法
(   )一盤毛豆有　17　個，爺爺吃了　9　個，還剩下幾個？　(Ａ)　10　個　(Ｂ)　9　個　(Ｃ)　8　個。,答案：(Ｃ) 解析： 17－9＝8 ,易,3-1_基本減法
(   )妤庭有一包巧克力　13　顆，她分給花花　7　顆，剩下的留給自己，妤庭還有幾顆巧克力？　(Ａ)　6　顆　(Ｂ)　7　顆　(Ｃ)　8　顆。,答案：(Ａ) 解析： 13－7＝6 ,易,3-1_基本減法
(   )一盒蛋塔　12　個，小意吃了　4　個，還剩下幾個？　(Ａ)　6　個　(Ｂ)　7　個　(Ｃ)　8　個。,答案：(Ｃ) 解析： 12－4＝8 ,中,3-1_基本減法
(   )兩桶炸雞共有　18　隻雞腿，小禮和小樂共吃了　9　隻雞腿，還剩下幾隻雞腿？　(Ａ)　10　隻　(Ｂ)　9　隻　(Ｃ)　8　隻。,答案：(Ｂ) 解析： 18－9＝9 ,中,3-1_基本減法
(   )一組布丁有　15　個，小射、小御和小術三人共吃了　8　個，還剩下幾個？　(Ａ)　8　個　(Ｂ)　7　個　(Ｃ)　6　個。,答案：(Ｂ) 解析： 15－8＝7 ,中,3-1_基本減法
(   )一盒餅乾有　17　個，可以分成　8　個和幾個？　(Ａ)　9　個　(Ｂ)　8　個　(Ｃ)　7　個。,答案：(Ａ) 解析： 17－8＝9 ,中,3-1_基本減法
(   )小舟和小濟兩人一起做了　18　個雞蛋糕，小白吃了　13　個，小維吃　4　個，小白比小維多吃了幾個？　(Ａ)　7　個　(Ｂ)　8　個　(Ｃ)　9　個。,答案：(Ｃ) ,中,3-1_基本減法
(   )小梅和小蘭為了慶祝父親節，特別為爸爸做了他最喜愛的梅子果凍　16　顆，爸爸一共吃了　9　顆，還剩下幾顆？　(Ａ)　11　顆　(Ｂ)　9　顆　(Ｃ)　7　顆。,答案：(Ｃ) ,中,3-1_基本減法
(   )小竹和小菊為了慶祝母親節，特地為媽媽做了她最愛的荔枝果凍　15　顆，媽媽請阿姨吃　8　顆，還剩下幾顆？　(Ａ)　6　顆　(Ｂ)　7　顆　(Ｃ)　8　顆。,答案：(Ｂ) ,難,3-1_基本減法
(   )下面哪一個算式的答案不是　8？　(Ａ)　16－8　(Ｂ)　15－7　(Ｃ)　14－7。,答案：(Ｃ) 解析：(Ａ)　16－8＝8；(Ｂ)　15－7＝8；(Ｃ)　14－7＝7 ,中,3-1_基本減法
(   )下面哪一個算式的答案不是　7？　(Ａ)　16－9　(Ｂ)　15－9　(Ｃ)　14－7。,答案：(Ｂ) 解析：(Ａ)　16－9＝7；(Ｂ)　15－9＝6；(Ｃ)　14－7＝7 ,中,3-1_基本減法
(   )下面哪一個算式的答案不是　6？　(Ａ)　15－8　(Ｂ)　14－8　(Ｃ)　13－7。,答案：(Ａ) 解析：(Ａ)　15－8＝7；(Ｂ)　14－8＝6；(Ｃ)　13－7＝6 ,中,3-1_基本減法
(   )下面哪一個算式的答案不是　9？　(Ａ)　16－7　(Ｂ)　14－5　(Ｃ)　12－4。,答案：(Ｃ) 解析：(Ａ)　16－7＝9；(Ｂ)　14－5＝9；(Ｃ)　12－4＝8 ,中,3-1_基本減法
(   )下面哪一個算式的答案不是　5？　(Ａ)　14－9　(Ｂ)　13－8　(Ｃ)　12－6。,答案：(Ｃ) 解析：(Ａ)　14－9＝5；(Ｂ)　13－8＝5；(Ｃ)　12－6＝6 ,中,3-1_基本減法
(   )哥哥有　16　顆彈珠，弟弟有　7　顆彈珠，哥哥比弟弟多幾顆彈珠？　(Ａ)　8　顆　(Ｂ)　9　顆　(Ｃ)　10　顆。,答案：(Ｂ) 解析：16－7＝9 ,易,3-2_比比看
(   )「投球比賽，小驊投進了　8　球，阿銘投進了　11　球，小驊比阿銘少投進幾球？」哪一個是正確的算式？　(Ａ)　8＋11＝19　(Ｂ)　11－3＝8　(Ｃ)　11－8＝3。,答案：(Ｃ) ,易,3-2_比比看
(   )小丸子有　17　張集點貼紙，小玉有　9　張集點貼紙，小丸子比小玉多幾張集點貼紙？　(Ａ)　6　張　(Ｂ)　7　張　(Ｃ)　8　張,答案：(Ｃ) 解析：17－9＝8 ,中,3-2_比比看
(   )小誠和小實到日本參加摘水蜜桃比賽，小誠摘了　11　顆，小實摘了　6　顆，小誠比小實多摘了幾顆？　(Ａ)　3　顆　(Ｂ)　4　顆　(Ｃ)　5　顆。,答案：(Ｃ) 解析： 11－6＝5 ,中,3-2_比比看
(   )小美和小麗比賽編花環，小美編了　8　個，小麗編了　13　個，小美比小麗少編幾個？　(Ａ)　5　個　(Ｂ)　6　個　(Ｃ)　7　個。,答案：(Ａ) 解析： 13－8＝5 ,中,3-2_比比看
(   )小明和小亮到夜市玩套圈圈遊戲，小明套中　14　個圈圈，小亮套中　6　個圈圈，小明比小亮多套中幾個圈圈？　(Ａ)　6　個　(Ｂ)　7　個　(Ｃ)　8　個。,答案：(Ｃ) 解析： 14－6＝8 ,中,3-2_比比看
(   )小光左手一次可以握住　8　顆彈珠，右手一次可以握住　5　顆彈珠，左手比右手多握幾顆彈珠？　(Ａ)　2　顆　(Ｂ)　3　顆　(Ｃ)　4　顆。,答案：(Ｂ) 解析： 8－5＝3 ,中,3-2_比比看
(   )小彩媽媽在超市買了　16　瓶優酪乳和　9　瓶果汁，果汁比優酪乳少幾瓶？　(Ａ)　5　瓶　(Ｂ)　6　瓶　(Ｃ)　7　瓶。,答案：(Ｃ) 解析： 16－9＝7 ,中,3-2_比比看
(   )小哲和小學比賽摺紙鶴，30　分鐘內，小哲摺了　8　隻紙鶴，小學摺了　15　隻紙鶴，小學比小哲多摺幾隻紙鶴？　(Ａ)　8　隻　(Ｂ)　7　隻　(Ｃ)　6　隻。,答案：(Ｂ) 解析： 15－8＝7 ,中,3-2_比比看
(   )下面哪一個算式的答案是　8？　(Ａ)　17－9　(Ｂ)　17－8　(Ｃ)　17－7。,答案：(Ａ) 解析：(Ｂ)　17－8＝9；(Ｃ)　17－7＝10 ,易,3-3_減法算式的規律
(   )下面哪一個算式的答案是　7？　(Ａ)　16－7　(Ｂ)　15－6　(Ｃ)　14－7。,答案：(Ｃ) 解析：(Ａ)　16－7＝9；(Ｂ)　15－6＝9 ,易,3-3_減法算式的規律
(   )下面哪一個算式的答案不是　5？　(Ａ)　11－6　(Ｂ)　12－8　(Ｃ)　13－8。,答案：(Ｂ) 解析：(Ｂ)　12－8＝4 ,易,3-3_減法算式的規律
(   )已經知道　17－8＝9，17－9＝□，□可以填入　(Ａ)　8　(Ｂ)　9　(Ｃ)　10。,答案：(Ａ) 解析：被減數相同，減數增加　1，差減少　1。 ,中,3-3_減法算式的規律
(   )已經知道　13－6＝7，算式　12－6　的答案是多少？　(Ａ)　5　(Ｂ)　6　(Ｃ)　7。,答案：(Ｂ) 解析：減數相同，被減數減少　1，差也會減少　1。 ,中,3-3_減法算式的規律
(   )已經知道　16－8＝8，算式　16－7　的答案是多少？　(Ａ)　7　(Ｂ)　8　(Ｃ)　9。,答案：(Ｃ) 解析：被減數相同，減數少　1，差會增加　1。 ,中,3-3_減法算式的規律
(   )已經知道　16－7＝9，算式　16－8　的答案是多少？　(Ａ)　7　(Ｂ)　8　(Ｃ)　9。,答案：(Ｂ) 解析：被減數相同，減數增加　1，差會減少　1。 ,中,3-3_減法算式的規律
(   )已經知道　13－5＝8，算式　14－6　的答案是多少？　(Ａ)　7　(Ｂ)　8　(Ｃ)　9。,答案：(Ｂ) 解析：被減數增加　1，減數增加　1，差不變。 ,中,3-3_減法算式的規律
(   )下面哪個算式和　11－4　答案相同？　(Ａ)　13－9　(Ｂ)　15－9　(Ｃ)　13－6。,答案：(Ｃ) 解析：11－4＝7；13－6＝7 ,中,3-3_減法算式的規律
(   )一盒星星餅乾　10　片，5　盒餅乾和　8　片，共有幾片餅乾？　(Ａ)　50　片　(Ｂ)　55　片　(Ｃ)　58　片。,答案：(Ｃ) 解析：5　盒有　50　片，再多　8　片就是　58　片。 ,易,4-1_數到100
(   )54　中的「5」代表的是　(Ａ)個位　(Ｂ)十位　(Ｃ)小數。,答案：(Ｂ) 解析：5　記在位值表是十位，代表　50。 ,易,4-2_認識十位和個位
(   )45　中的「4」代表的是　(Ａ)　4　(Ｂ)　45　(Ｃ)　40,答案：(Ｃ) 解析：4　在位值表是十位，表示有　4　個　10，是　40。 ,中,4-2_認識十位和個位
(   )9　個十和　4　個　1，合起來是　(Ａ)　49　(Ｂ)　13　(Ｃ)　94。,答案：(Ｃ) 解析：9　個十是　90，4　個一是　4，合起來是　94。 ,中,4-2_認識十位和個位
(   )10　顆小籠包裝一盒，38　顆小籠包可以裝成　3　盒後，還剩下　(Ａ)　8　顆　(Ｂ)　10　顆　(Ｃ)　18　顆。,答案：(Ａ) ,中,4-2_認識十位和個位
(   )10　個橡皮擦裝　1　包，100　個橡皮擦可以裝成幾包？　(Ａ)　10　包　(Ｂ)　9　包　(Ｃ)　100　包。,答案：(Ａ) 解析：100　可以分成　10　個十。 ,中,4-2_認識十位和個位
(   )一袋蘋果有　10　顆，57　顆蘋果是幾袋蘋果和　7　顆？　(Ａ)　5　袋　(Ｂ)　6　袋　(Ｃ)　7　袋。,答案：(Ａ) 解析：57　是　5　個　10　和　7　個　1，所以是　5　袋。 ,中,4-2_認識十位和個位
(   )一籃梨子有　10　顆，74　顆梨子是　7　籃梨子和幾顆梨子？　(Ａ)　6　顆　(Ｂ)　5　顆　(Ｃ)　4　顆。,答案：(Ｃ) 解析：74　是　7　個　10　和　4　個　1，所以是　7　籃和4　顆。 ,中,4-2_認識十位和個位
(   )一束玫瑰花有　10　朵，8　束和　19　朵玫瑰花，共有幾朵？　(Ａ)　97　朵　(Ｂ)　98　朵　(Ｃ)　99　朵。,答案：(Ｃ) 解析：8　束是　80　朵，再多　19　朵就是　99　朵。 ,難,4-2_認識十位和個位
(   )一箱柳丁有　96　顆，把　96　記在位值表上，個位要記多少？　(Ａ)　9　(Ｂ)　7　(Ｃ)　6。,答案：(Ｃ) 解析：十位是　9，個位是　6。 ,易,4-2_認識十位和個位
(   )一包糖果有　73　顆，把　73　記在位值表上，十位要記多少？　(Ａ)　3　(Ｂ)　7　(Ｃ)　8。,答案：(Ｂ) 解析：十位是　7，個位是　3。 ,易,4-2_認識十位和個位
(   )一盒喜餅有　10　包餅乾，6　盒喜餅又　12　包餅乾，合起來是幾盒和　2　包餅乾？　(Ａ)　6　盒　(Ｂ)　7　盒　(Ｃ)　8　盒。,答案：(Ｂ) 解析：6　盒就是　60　包，60　包再多　12　包就是　72　包，也就是　7　盒和　2　包。 ,難,4-2_認識十位和個位
(   )10　顆巧克力裝一盤，有　7　盤又　18　顆巧克力，合起來是幾盤和　8　顆巧克力？　(Ａ)　6　盤　(Ｂ)　7　盤　(Ｃ)　8　盤。,答案：(Ｃ) 解析：7　盤和　18　顆合起來是　88　顆，可以裝成　8　盤和　8　顆。 ,難,4-2_認識十位和個位
(   )下面哪一個數最大？　(Ａ)　31　(Ｂ)　29　(Ｃ)　30。,答案：(Ａ) ,中,4-3_數的大小比較
(   )小茹和小威採小番茄，小威採了　63　顆，小茹採了　59　顆，誰採得比較少？　(Ａ)小威　(Ｂ)小茹　(Ｃ)一樣少。,答案：(Ｂ) 解析：小茹採　59　顆，比小威採　63　顆少。 ,易,4-3_數的大小比較
(   )龍龍和蓉蓉比賽摺愛心，龍龍摺了　68　個，蓉蓉摺了　86　個，誰摺的比較多？　(Ａ)龍龍摺的比較多　(Ｂ)蓉蓉摺的比較少　(Ｃ)蓉蓉摺的比較多。,答案：(Ｃ) 解析：86　比　68　大，所以蓉蓉摺的比龍龍多。 ,難,4-3_數的大小比較
(   )昨天哥哥早餐花了　58　元，午餐花了　85　元，晚餐花了　99　元，哥哥昨天三餐哪一餐花了最多錢？　(Ａ)早餐　(Ｂ)午餐　(Ｃ)晚餐。,答案：(Ｃ) 解析：58　元比　85　元少，85　元比　99　元少，所以，晚餐花最多錢。 ,難,4-3_數的大小比較
(   )按照數的順序填填看，10－15－20－□，□中應該填入什麼數？　(Ａ)　35　(Ｂ)　30　(Ｃ)　25。,答案：(Ｃ) 解析：5　個一數，依序是　15、20、25，所以□是　25。 ,易,4-4_百數表
(   )在百數表中，最小的數是多少？　(Ａ)　100　(Ｂ)　11　(Ｃ)　1。,答案：(Ｃ) ,易,4-4_百數表
(   )百數表中，最大的數是多少？　(Ａ)　99　(Ｂ)　100　(Ｃ)　98。,答案：(Ｂ) ,易,4-4_百數表
(   )5　個一數，按照數的順序填填看，30—□—40—45，□中的數是多少？　(Ａ)　32　(Ｂ)　34　(Ｃ)　35。,答案：(Ｃ) ,中,4-4_百數表
(   )5　個一數，不會出現下面哪一個數？　(Ａ)　95　(Ｂ)　20　(Ｃ)　62。,答案：(Ｃ) 解析：5　個一數，個位數字是　0　或　5，不會出現　2。 ,中,4-4_百數表
(   )2　個一數，不會出現下面哪一個數？　(Ａ)　40　(Ｂ)　95　(Ｃ)　20。,答案：(Ｂ) 解析：2　個一數，個位數字是　0、2、4、6、8，不會出現　5。 ,中,4-4_百數表
(   )2　個一數，不會出現下面哪一個數？　(Ａ)　52　(Ｂ)　15　(Ｃ)　34。,答案：(Ｂ) 解析：2　個一數，個位數字是　0、2、4、6、8，不會出現　5。 ,難,4-4_百數表
(   )依照數的順序，2　個一數，62—64—66—68—□，□應該是　(Ａ)　69　(Ｂ)　70　(Ｃ)　71。,答案：(Ｂ) 解析：2　個一數，68　再多　2　是　70。 ,中,4-4_百數表
