input,output,difficulty,chapter
(   )一個底面為平行四邊形的四角柱，體積是　720　立方公分，柱高是　15　公分，已知底面平行四邊形的底是　8　公分，高是幾公分？　(Ａ)　4　公分　(Ｂ)　6　公分　(Ｃ)　8　公分　(Ｄ)　10　公分。,答案：(Ｂ) 解析：720÷15＝48 48÷8＝6 ,中,2-2_角柱與圓柱的體積
(   )有一個圓柱的柱高是　40　公分，底面半徑　20　公分，圓柱的表面積大約是多少平方公分？　(Ａ)大約　5680　平方公分　(Ｂ)大約　6896　平方公分　(Ｃ)大約　7428　平方公分　(Ｄ)大約　7536　平方公分。,答案：(Ｄ) 解析：20×20×3.14×2＝2512 20×2×3.14×40＝5024 2512＋5024＝7536 ,中,2-3_角柱與圓柱的表面積
(   )圓柱的側面展開之後是什麼形狀？　(Ａ)圓形　(Ｂ)不規則形　(Ｃ)長方形　(Ｄ)扇形。,答案：(Ｃ) ,易,2-3_角柱與圓柱的表面積
(   )有一個底面是平行四邊形的柱體，底面的底是　8　公分、高是　4　公分，側面面積是　312　平方公分，這個柱體的表面積是多少平方公分？　(Ａ)　344　平方公分　(Ｂ)　376　平方公分　(Ｃ)　656　平方公分　(Ｄ)　688　平方公分。,答案：(Ｂ) 解析：8×4×2＝64 312＋64＝376 ,易,2-3_角柱與圓柱的表面積
(   )圓柱的側面面積要如何計算？　(Ａ)底面圓周長×柱高　(Ｂ)底面圓面積×2　(Ｃ)底面圓面積×柱高　(Ｄ)（底面圓周長＋柱高）×2。,答案：(Ａ) ,易,2-3_角柱與圓柱的表面積
(   )有一個圓柱的表面積是　477.28　平方公分，底面半徑是　4　公分，柱高大約是幾公分？　(Ａ)大約　9　公分　(Ｂ)大約　12　公分　(Ｃ)大約　15　公分　(Ｄ)大約　18　公分。,答案：(Ｃ) 解析：4×4×3.14×2＝100.48 側面面積：477.28－100.48＝376.8 4×2×3.14＝25.12 376.8÷25.12＝15 ,難,2-3_角柱與圓柱的表面積
(   )2.15　分鐘等於幾分幾秒？　(Ａ)　2　分　51　秒　(Ｂ)　2　分　15　秒　(Ｃ)　2　分　9　秒　(Ｄ)　2　分　5　秒。,答案：(Ｃ) 解析：60×0.15＝9 2.15　分鐘＝2　分　9　秒 ,中,3-1_時間的單位換算
(   )14/3小時等於幾小時幾分？　(Ａ)　4　小時　32　分　(Ｂ)　4　小時　40　分　(Ｃ)　4　小時　48　分　(Ｄ)　4　小時　56　分。,答案：(Ｂ) 解析：60×(2/3)＝40 14/3小時＝4　小時　40　分 ,中,3-1_時間的單位換算
(   )6　分　45　秒等於幾分鐘？（用小數表示）　(Ａ)　6.15　分鐘　(Ｂ)　6.35　分鐘　(Ｃ)　6.55　分鐘　(Ｄ)　6.75　分鐘。,答案：(Ｄ) 解析：45÷60＝0.75 6　分　45　秒＝6.75　分鐘 ,中,3-1_時間的單位換算
(   )2　小時　10　分等於幾小時？　(Ａ)　5/2小時　(Ｂ)　9/4小時　(Ｃ)　13/6小時　(Ｄ)　17/8小時。,答案：(Ｃ) 解析：10÷60＝1/6 2　小時　10　分＝13/6小時 ,中,3-1_時間的單位換算
(   )關於速率的敘述，下列何者錯誤？　(Ａ)距離相等，花的時間越短，速率越快　(Ｂ)時間相等，移動的距離越長，速率越快　(Ｃ)秒速是平均每秒移動的距離　(Ｄ)速率相等，時間越短，移動的距離越長。,答案：(Ｄ) 解析：速率相等，時間越短，移動的距離越短。 ,中,3-2_認識速率
(   )關於速率的敘述，下列何者錯誤？　(Ａ)　18　公尺／秒，表示每秒移動　18　公尺　(Ｂ)　18　公尺／分，表示每分鐘移動　18　公尺　(Ｃ)　18　公里／時，表示每小時移動　18　公里　(Ｄ)　18　公尺／分比　18　公尺／秒的速率快。,答案：(Ｄ) 解析：18　公尺／分表示每分鐘移動　18　公尺，18　公尺／秒表示每秒就可移動　18　公尺，所以　18　公尺／秒的速率比較快。 ,中,3-2_認識速率
(   )游泳池水道長　100　公尺，表哥來回游一趟要　5　分鐘，他游泳的分速是多少？　(Ａ)　20　公尺／秒　(Ｂ)　20　公尺／分　(Ｃ)　40　公尺／秒　(Ｄ)　40　公尺／分。,答案：(Ｄ) 解析：100×2＝200 200÷5＝40 ,中,3-2_認識速率
(   )高鐵以每分鐘　5　公里的速率前進，從臺北到左營花了　6/5小時，臺北到左營的距離是多少公里？　(Ａ)　360　公里　(Ｂ)　180　公里　(Ｃ)　12　公里　(Ｄ)　6　公里。,答案：(Ａ) 解析：5×60×6/5＝360 ,中,3-2_認識速率
(   )下列敘述何者錯誤？　(Ａ)距離相等，花的時間越短，速率越快　(Ｂ)時間相等，移動的距離越長，速率越快　(Ｃ)距離＝速率÷時間　(Ｄ)時間＝距離÷速率。,答案：(Ｃ) 解析：距離＝速率×時間 ,中,3-2_認識速率
(   )小馬跑　60　公尺需要花費　10　秒，下列哪種說法是錯的？　(Ａ)速率是　6　公尺／秒　(Ｂ)跑　100　公尺大約要　16.7　秒　(Ｃ)速率是　60　公尺／秒　(Ｄ)跑　200　公尺大約要　33　秒。,答案：(Ｃ) 解析：速率：60÷10＝6（公尺／秒） ,中,3-2_認識速率
(   )探測船從水平面發出聲納，在　3.6　秒後收到從　2790　公尺深的水底傳來的回音，聲音在水中的速率是多少？　(Ａ)　1650　公尺／秒　(Ｂ)　1750　公尺／秒　(Ｃ)　310　公尺／秒　(Ｄ)　1550　公尺／秒。,答案：(Ｄ) 解析：2790×2÷3.6＝1550 ,中,3-2_認識速率
(   )甲、乙兩島相距　280　公里，輪船上午　9　時從甲島出發，晚上　11　時到達乙島，輪船每小時航行多少公里？　(Ａ)　15　公里　(Ｂ)　20　公里　(Ｃ)　25　公里　(Ｄ)　30　公里。,答案：(Ｂ) 解析：晚上　11　時是　23　時 23－9＝14 280÷14＝20 ,中,3-2_認識速率
(   )操場一圈　200　公尺，小批每分鐘走　60　公尺，走一圈操場要花多少時間？　(Ａ)　3　分(1/3)秒　(Ｂ)　3　分　20　秒　(Ｃ)　320　秒　(Ｄ)　3.2　分鐘。,答案：(Ｂ) 解析：200÷60＝10/3 10/3分鐘＝3　分　20　秒 ,中,3-2_認識速率
(   )兩地相距　24　公里，以　4　公里／時的速率步行，每走　1　小時休息　5　分鐘，走完全程共需多少時間？　(Ａ)　5　小時　55　分　(Ｂ)　6　小時　15　分　(Ｃ)　6　小時　25　分　(Ｄ)　6　小時　30　分。,答案：(Ｃ) 解析：24÷4＝6（小時） 6－1＝5，5×5＝25（分鐘） ,難,3-2_認識速率
(   )佐助家到學校的距離是　500　公尺，鳴人家到學校的距離是　350　公尺，佐助走路到學校花了　5　分鐘，鳴人走路到學校花了　4　分鐘，誰走得比較快？　(Ａ)佐助　(Ｂ)鳴人　(Ｃ)一樣快　(Ｄ)不能比較。,答案：(Ａ) 解析：500÷5＝100 350÷4＝87.5 100＞87.5 佐助走得比較快 ,中,3-2_認識速率
(   )公路旁每隔　30　公尺有一盞路燈，爸爸開車從第　1　盞路燈到第　101　盞路燈共費時　3　分鐘，爸爸開車的時速是多少？　(Ａ)　50　公里／時　(Ｂ)　60　公里／時　(Ｃ)　70　公里／時　(Ｄ)　80　公里／時。,答案：(Ｂ) 解析：101－1＝100 30×100÷1000＝3（公里） 3　分鐘＝0.05小時 3÷0.05＝60 ,難,3-2_認識速率
(   )健行隊以　6　公里／時的速率走完　24　公里的路程，期間每走　45　分鐘會休息　15　分鐘，健行隊花了多久的時間走完全程？　(Ａ)　7　小時　15　分　(Ｂ)　6　小時　15　分　(Ｃ)　5　小時　15　分　(Ｄ)　4　小時　15　分。,答案：(Ｃ) 解析：24÷6＝4 60×4＝240 240÷45＝5　…　15 15×5＝75 4　小時＋75　分鐘＝5　小時　15　分 ,難,3-2_認識速率
(   )兄弟兩人同時出發，哥哥走了　10　公里，弟弟走了　8　公里，誰的速率比較快？　(Ａ)哥哥　(Ｂ)弟弟　(Ｃ)一樣快　(Ｄ)無法比較。,答案：(Ｄ) 解析：沒有時間，無法比較。 ,易,3-2_認識速率
(   )姐妹兩人同時從家裡出發到學校，姐姐花了　15　分鐘，妹妹花了　18　分鐘，誰的速率比較慢？　(Ａ)姐姐　(Ｂ)妹妹　(Ｃ)一樣慢　(Ｄ)無法比較。,答案：(Ｂ) 解析：相同距離，花的時間越長，速率越慢。 ,易,3-2_認識速率
(   )叔叔開車出遊，行駛　240　公里花了　6　小時，叔叔開車的速率是多少？　(Ａ)　720　公里／時　(Ｂ)　480　公里／時　(Ｃ)　40　公里／時　(Ｄ)　20　公里／時。,答案：(Ｃ) 解析：240÷6＝40 ,易,3-2_認識速率
(   )小顏　30　分鐘走　2200　步，平均每步長　50　公分，他走路的時速是多少？　(Ａ)　22　公里／時　(Ｂ)　11　公里／時　(Ｃ)　2.2　公里／時　(Ｄ)　1.1　公里／時。,答案：(Ｃ) 解析：50×2200＝110000 110000　公分＝1.1　公里 30　分鐘＝0.5　小時 1.1÷0.5＝2.2 ,中,3-2_認識速率
(   )小米跑步的速率是　240　公尺／分，小如跑步的速率是　150　公尺／分。3000　公尺賽跑時，兩人同時起跑，當小如跑到終點時，比小米慢幾分鐘？　(Ａ)　7.5　分鐘　(Ｂ)　12.5　分鐘　(Ｃ)　20　分鐘　(Ｄ)　33.3　分鐘。,答案：(Ａ) 解析：3000÷240＝12.5 3000÷150＝20 20－12.5＝7.5 ,中,3-2_認識速率
(   )光　1　秒可以走　30　萬公里，光的時速是　(Ａ)　30　公里／時　(Ｂ)　10800　公里／時　(Ｃ)　1800　萬公里／時　(Ｄ)　108000　萬公里／時。,答案：(Ｄ) 解析：30　萬×60×60＝108000　萬 ,中,3-3_速率的單位換算
(   )有一隻獵豹跑步的速率是　112　公里／時，也就是說這隻獵豹每小時可以跑多少公尺？　(Ａ)　1120　公尺　(Ｂ)　11200　公尺　(Ｃ)　112000　公尺　(Ｄ)　1120000　公尺。,答案：(Ｃ) 解析：1000×112＝112000 ,易,3-3_速率的單位換算
(   )文翊開車的速率是　72　公里／時，也就是說文翊每分鐘可以開多少公尺？　(Ａ)　12　公尺　(Ｂ)　120　公尺　(Ｃ)　1200　公尺　(Ｄ)　12000　公尺。,答案：(Ｃ) 解析：1000×72÷60＝1200 ,易,3-3_速率的單位換算
(   )聲音傳播的速率是每秒　340　公尺，戰鬥機飛行的速率是　4284　公里／時，是聲音傳播速率的幾倍？　(Ａ)　1.5　倍　(Ｂ)　2.5　倍　(Ｃ)　3.5　倍　(Ｄ)　4.5　倍。,答案：(Ｃ) 解析：340×60×60＝1224000（公尺／時） 1224000÷1000＝1224（公里／時） 4284÷1224＝3.5 ,難,3-3_速率的單位換算
(   )公車站到百貨公司的距離是　3200　公尺，小月走路的時速是　4800　公尺／時，小清走路的分速是　78　公尺／分，小添走路的秒速是　1.4　公尺／秒，若三人同時從公車站出發，誰會先到達百貨公司？　(Ａ)小月　(Ｂ)小清　(Ｃ)小添　(Ｄ)同時到達。,答案：(Ｃ) 解析：小月：4800÷60＝80（公尺／分） 小清：78　公尺／分 小添：1.4×60＝84（公尺／分） 84＞80＞78 ,中,3-3_速率的單位換算
(   )園區小火車移動的速率是　180　公尺／分，換算成秒速是多少？　(Ａ)　3　公尺／秒　(Ｂ)　180　公尺／秒　(Ｃ)　4320　公尺／秒　(Ｄ)　10800　公尺／秒。,答案：(Ａ) 解析：180÷60＝3 ,易,3-3_速率的單位換算
(   )颱風中心最大風速是　55　公尺／秒，也就是　(Ａ)　200　公里／時　(Ｂ)　198　公里／時　(Ｃ)　196　公里／時　(Ｄ)　186　公里／時。,答案：(Ｂ) 解析：55×60×60＝198000 198000　公尺＝198　公里 ,中,3-3_速率的單位換算
(   )甲鴿子飛行的速率是　22　公尺／秒，乙鴿子飛行的速率是　1200　公尺／分，丙鴿子飛行的速率是　75.6　公里／時，哪一隻鴿子飛行的速率最快？　(Ａ)甲鴿子　(Ｂ)乙鴿子　(Ｃ)丙鴿子　(Ｄ)一樣快。,答案：(Ａ) 解析：甲：22×60＝1320（公尺／分） 乙：1200　公尺／分 丙：1000×75.6÷60＝1260（公尺／分） 1320＞1260＞1200 ,中,3-3_速率的單位換算
(   )卡車司機開車的速率是　120　公里／時，每分鐘可行駛多少公尺？　(Ａ)　2　公尺　(Ｂ)　20　公尺　(Ｃ)　200　公尺　(Ｄ)　2000　公尺。,答案：(Ｄ) 解析：1000×120÷60＝2000 ,易,3-3_速率的單位換算
(   )甲車的車速是　54　公里／時，乙車的車速是　800　公尺／分，哪一輛車子的速率比較慢？　(Ａ)甲車　(Ｂ)乙車　(Ｃ)兩車速率一樣　(Ｄ)無法比較。,答案：(Ｂ) 解析：1000×54÷60＝900（公尺／分） 900＞800 ,易,3-3_速率的單位換算
(   )哥哥跑步的速率是　1.5　公尺／秒，他每小時可以跑幾公里？　(Ａ)　0.9　公里　(Ｂ)　1.8　公里　(Ｃ)　5.4　公里　(Ｄ)　10　公里。,答案：(Ｃ) 解析：1.5÷1000×60×60＝5.4 ,易,3-3_速率的單位換算
(   )電梯每秒上升　1.5　公尺，每分鐘可上升幾公尺？　(Ａ)　9　公尺　(Ｂ)　15　公尺　(Ｃ)　90　公尺　(Ｄ)　150　公尺。,答案：(Ｃ) 解析：1.5×60＝90 ,易,3-3_速率的單位換算
(   )關於解決已知兩量，要如何分才會一樣多的敘述，下列何者正確？　(Ａ)先求兩量的和，再用較大量加上兩量和　(Ｂ)先求兩量的和，再用較小量加上兩量和　(Ｃ)先求兩量的差，再將兩量的差均分　(Ｄ)分別均分後再相減。,答案：(Ｃ) 解析：也可先求兩量的和，再均分。 ,中,6-1_和差問題
(   )英俊和哥哥兩人共有　300　元，英俊比哥哥多　30　元，下列敘述何者錯誤？　(Ａ)英俊有　165　元　(Ｂ)哥哥有　135　元　(Ｃ)英俊的錢比哥哥多　(Ｄ)英俊有　135　元。,答案：(Ｄ) 解析：300－30＝270 哥哥的錢：270÷2＝135 英俊的錢：135＋30＝165 ,易,6-1_和差問題
(   )六年一班有　30　人，女生比男生少　4　人，下列敘述何者正確？　(Ａ)男生　17　人　(Ｂ)女生　17　人　(Ｃ)男生　18　人　(Ｄ)女生　18　人。,答案：(Ａ) 解析：30－4＝26 女生：26÷2＝13 男生：13＋4＝17 ,易,6-1_和差問題
(   )小喵和小汪收集超商的點數共　60　點。如果小喵的點數比小汪少　6　點，下列哪一個選項正確？　(Ａ)小喵有　27　點　(Ｂ)小汪有　27　點　(Ｃ)小喵有　33　點　(Ｄ)小汪有　54　點。,答案：(Ａ) 解析：60－6＝54 小喵：54÷2＝27 小汪：27＋6＝33 ,中,6-1_和差問題
(   )小敏有　101　顆糖果，給了妹妹　23　顆後，兩人的糖果就會一樣多，妹妹原本有幾顆糖果？　(Ａ)　46　顆　(Ｂ)　55　顆　(Ｃ)　66　顆　(Ｄ)　78　顆。,答案：(Ｂ) 解析：23×2＝46 101－46＝55 ,易,6-1_和差問題
(   )如果已經知道兩量的和及兩量的差，則「兩量的和減兩量的差」會等於什麼？　(Ａ)較小量　(Ｂ)較小量的　2　倍　(Ｃ)較大量　(Ｄ)較大量的　2　倍。,答案：(Ｂ) ,易,6-1_和差問題
(   )哥哥和弟弟共有　500　元，弟弟比哥哥少　100　元，哥哥有多少元？　(Ａ)　400　元　(Ｂ)　200　元　(Ｃ)　300　元　(Ｄ)　600　元。,答案：(Ｃ) 解析：（500＋100）÷2＝300 ,易,6-1_和差問題
(   )有甲、乙兩個杯子，甲杯裝了　900　毫升的水，媽媽從乙杯倒了　450　毫升的水到甲杯，兩杯的水就一樣多，乙杯原來裝了幾毫升的水？　(Ａ)　900　毫升　(Ｂ)　1350　毫升　(Ｃ)　1800　毫升　(Ｄ)　450　毫升。,答案：(Ｃ) 解析：900＋450×2＝900＋900＝1800 ,易,6-1_和差問題
(   )奶奶養的雞和兔子一樣多，兔子的腳總數比雞的腳總數多　12　隻，下列選項何者錯誤？　(Ａ)兔子有　6　隻　(Ｂ)雞有　6　隻　(Ｃ)雞和兔子共有　12　隻　(Ｄ)雞的腳總數有　24　隻。,答案：(Ｄ) 解析：兔子和雞的隻數皆為：12÷（4－2）＝6 雞的腳總數：2×6＝12 ,中,6-2_雞兔問題
(   )老師的抽屜中有　5　元和　10　元硬幣共　30　個，合計有　180　元，下列敘述何者錯誤？　(Ａ)　5　元硬幣有　24　個　(Ｂ)　10　元硬幣有　6　個　(Ｃ)　5　元硬幣合計共　120　元　(Ｄ)　10　元硬幣合計共　70　元。,答案：(Ｄ) 解析：5×30＝150 180－150＝30 10－5＝5 10　元硬幣個數：30÷5＝6 5　元硬幣個數：30－6＝24 10　元硬幣合計：10×6＝60 5　元硬幣合計：5×24＝120 ,中,6-2_雞兔問題
(   )停車場有汽車和大貨車共　20　輛，汽車有　4　個輪子，大貨車有　6　個輪子，兩種車共有　104　個輪子。停車場的大貨車有幾輛？　(Ａ)　4　輛　(Ｂ)　6　輛　(Ｃ)　8　輛　(Ｄ)　12　輛。,答案：(Ｄ) 解析：104－4×20＝24 24÷（6－4）＝12 ,易,6-2_雞兔問題
(   )牛奶一瓶　45　元，果汁一瓶　35　元。冰箱裡有　20　瓶，共花了　820　元，買牛奶的錢和果汁的錢相差多少元？　(Ａ)　250　元　(Ｂ)　260　元　(Ｃ)　270　元　(Ｄ)　290　元。,答案：(Ｂ) 解析：假設全為果汁：35×20＝700 牛奶：（820－700）÷（45－35）＝12 果汁：20－12＝8 45×12－35×8＝260 ,中,6-2_雞兔問題
(   )小葉的存錢筒中有　5　元硬幣和　10　元硬幣共　45　個，已知小葉的存錢筒內總共有　375　元，其中　10　元硬幣有幾個？　(Ａ)　15　個　(Ｂ)　20　個　(Ｃ)　25　個　(Ｄ)　30　個。,答案：(Ｄ) 解析：5×45＝225 375－225＝150 150÷（10－5）＝30 ,中,6-2_雞兔問題
(   )1　隻蜘蛛比　1　隻蝴蝶多　2　隻腳，28　隻蜘蛛比　28　隻蝴蝶多幾隻腳？　(Ａ)　2　隻　(Ｂ)　28　隻　(Ｃ)　56　隻　(Ｄ)　30　隻。,答案：(Ｃ) 解析：2×28＝56 ,易,6-2_雞兔問題
(   )一隻章魚比一隻鴨子多　6　隻腳，37　隻鴨子比　37　隻章魚少幾隻腳？　(Ａ)　37　隻　(Ｂ)　222　隻　(Ｃ)　6　隻　(Ｄ)　31　隻。,答案：(Ｂ) 解析：6×37＝222 ,易,6-2_雞兔問題
(   )奶奶養的雞和牛一樣多，牛的腳總數比雞的腳總數多　42　隻，奶奶養了幾隻牛？　(Ａ)　21　隻　(Ｂ)　42　隻　(Ｃ)　14　隻　(Ｄ)　68　隻。,答案：(Ａ) 解析：42÷（4－2）＝21 ,易,6-2_雞兔問題
(   )媽媽　32　歲，吉禎　6　歲，下列敘述何者錯誤？　(Ａ)不管經過幾年，兩人的年齡差都是　26　歲　(Ｂ)每經過一年，媽媽就多一歲　(Ｃ)媽媽年齡和吉禎年齡的比值會愈來愈大　(Ｄ)　20　年後，媽媽的年齡是吉禎的　2　倍。,答案：(Ｃ) 解析：(Ｃ)媽媽年齡和吉禎年齡的比值會愈來愈小。 (Ｄ)　32＋20＝52 6＋20＝26 52÷26＝2（倍） ,難,6-3_年齡的倍數問題
(   )姐姐今年　15　歲，媽媽今年　45　歲，當姐姐幾歲時，媽媽的年齡會是姐姐的　2　倍？　(Ａ)　18　歲　(Ｂ)　24　歲　(Ｃ)　30　歲　(Ｄ)　35　歲。,答案：(Ｃ) 解析：45－15＝30 30÷（2－1）＝30 ,易,6-3_年齡的倍數問題
(   )小如今年　25　歲，阿姨今年　47　歲，幾年前，阿姨的年齡是小如的　2　倍？　(Ａ)　1　年前　(Ｂ)　2　年前　(Ｃ)　3　年前　(Ｄ)　4　年前。,答案：(Ｃ) 解析：47－25＝22 22÷（2－1）＝22 25－22＝3 ,中,6-3_年齡的倍數問題
(   )老師今年　40　歲，小偉今年　7　歲，幾年後，老師的年齡是小偉的　4　倍？　(Ａ)　2　年後　(Ｂ)　4　年後　(Ｃ)　6　年後　(Ｄ)　8　年後。,答案：(Ｂ) 解析：40－7＝33 33÷（4－1）＝11 11－7＝4 ,中,6-3_年齡的倍數問題
(   )爸爸比弟弟大　30　歲，過了　5　年後，弟弟和爸爸的年齡差會有什麼變化？　(Ａ)比　30　歲再大　5　歲　(Ｂ)比　30　歲小　5　歲　(Ｃ)　30　歲的　5　倍　(Ｄ)固定不變。,答案：(Ｄ) 解析：不管經過幾年，兩人的年齡差是固定的。 ,易,6-3_年齡的倍數問題
(   )今年媽媽的年齡是妹妹的　2　倍，兩人相差　24　歲，10　年後，媽媽和妹妹相差幾歲？　(Ａ)　2　歲　(Ｂ)　34　歲　(Ｃ)　24　歲　(Ｄ)　20　歲。,答案：(Ｃ) 解析：不管經過幾年，兩人的年齡差是固定的。 ,易,6-3_年齡的倍數問題
(   )爺爺比小倫大　45　歲，當爺爺幾歲時，爺爺的年齡會是小倫的　6　倍？　(Ａ)　51　歲　(Ｂ)　54　歲　(Ｃ)　45　歲　(Ｄ)　39　歲。,答案：(Ｂ) 解析：45÷（6－1）＝9 9＋45＝54 ,中,6-3_年齡的倍數問題
(   )甲跑步的速率是　5　公里／時，乙跑步的速率是　4　公里／時，下列敘述何者錯誤？　(Ａ)兩人同時同地同方向前進　2　小時，兩人距離相差　2　公里　(Ｂ)兩人同時同地同方向前進　5　小時，兩人距離相差　10　公里　(Ｃ)兩人同時同地反方向前進　2　小時，兩人距離相差　18　公里　(Ｄ)兩人相距　9　公里，同時相向前進，1　小時後會相遇。,答案：(Ｂ) 解析：(Ａ)（5－4）×2＝2； (Ｂ)（5－4）×5＝5； (Ｃ)（5＋4）×2＝18； (Ｄ)　9÷（5＋4）＝1 ,中,6-4_追趕與流水問題
(   )一艘船的靜水船速是　25　公里／時，它在一條流速　10　公里／時的河流中航行，下列敘述何者錯誤？　(Ａ)順流而下，順流中的船速是　35　公里／時　(Ｂ)甲地和乙地相隔　105　公里，船從甲地順流航行到乙地要花　3　小時　(Ｃ)逆流而上，逆流中的船速是　20　公里／時　(Ｄ)甲地和乙地相隔　105　公里，船從乙地逆流航行到甲地要花　7　小時。,答案：(Ｃ) 解析：(Ａ)　25＋10＝35； (Ｂ)　105÷35＝3； (Ｃ)　25－10＝15； (Ｄ)　105÷15＝7 ,中,6-4_追趕與流水問題
(   )大蔥鴨和傑尼龜同時同地同方向繞一圈　400　公尺的操場跑步。大蔥鴨跑一圈花了　1　分　10　秒，傑尼龜花了　1　分　20　秒。當他們在出發點第一次相會時，大蔥鴨跑了幾公尺？　(Ａ)　4000　公尺　(Ｂ)　3800　公尺　(Ｃ)　3600　公尺　(Ｄ)　3200　公尺。,答案：(Ｄ) 解析：1　分　10　秒＝70　秒，1　分　20　秒＝80　秒 70　和　80　的最小公倍數是　560 400×（560÷70）＝3200 ,難,6-4_追趕與流水問題
(   )同樣爬　1　公尺，蝸牛要花　15　分鐘，烏龜要花　12　分鐘。兩隻動物同時同地出發反向而行，90　分鐘後牠們相距多少公尺？　(Ａ)　12.5　公尺　(Ｂ)　12.8　公尺　(Ｃ)　13.5　公尺　(Ｄ)　14　公尺。,答案：(Ｃ) 解析：蝸牛：1/15公尺／分 烏龜：1/12公尺／分 （1/15＋1/12）×90＝13.5 ,中,6-4_追趕與流水問題
